 Title,Description,Video Link ,Thumbnail,Tags,ID
成绩很好就能考进商学院？事情可没有这么简单哦~,加拿大商学院本科注重全能型的学生。跟着Isaac一起，了解一下报考重点商学院都需要做哪些准备吧！,https://www.youtube.com/embed/KFj5HfEZHGo,/PlanningU/src/assets/articles/thumbnails/western_ivey_isaac.png,"中文, 课外活动, 申请大学",1
Olympiad Math Competitions Winner walks you through high school math competitons,Wanna know more about math competitions in high school? Why are they important for certain university programs? How should you prepare for these competitions?,https://www.youtube.com/embed/yQJWL7YVfAM,/PlanningU/src/assets/articles/thumbnails/math_competition_experience_max.png,"math competition, extracurriculars",2
Learn Why a Medical Student Took Philosophy and Coached Taekwondo During University,"As a medical student, most people expect you to be reading biology textbooks and working at hospitals 24/7. But in a latest interview with Hannah, there's a lot more to it than it seems...",https://www.youtube.com/embed/xUOyu3Rp3Sk,/PlanningU/src/assets/articles/thumbnails/ottawau_med_school_hannah.png,"medical Sciences, university life, research",3
Looking to Get a Job After the First Year of Undergrad?,"When most people expect you to get a job upon graduation, here is how you can secure a job as a first year uni student. In this video, you can learn more about the co-op program at the University of Waterloo. ",https://www.youtube.com/embed/2jCMp_XvH9s,/PlanningU/src/assets/articles/thumbnails/waterloo_coop_andrew.png,"coop, employment",4
"Big World, Big Data",The world is changing rapidly with the advancement of technology. Learn more about computer science and data science with 3rd year U of T student Howard!,https://www.youtube.com/embed/wrXbZFaKUJA,/PlanningU/src/assets/articles/thumbnails/uoft_data_science_howard.png,"university programs, univeristy life",5
多大生命科学系真的只有乏味的学习吗？,诗社？汉服社团？除了学习外，多大还有哪些有趣的社团活动呢？跟着Cindy了解一下多大生命科学系学生的上学日常吧~ ,https://www.youtube.com/embed/U-CtRIZoTJE,/PlanningU/src/assets/articles/thumbnails/uoft_life_sciences_cindy.png,"中文, 社团, 大学生活",6
